item,taxon,product,productLabel
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q10978,grape
http://www.wikidata.org/entity/Q25237,Pisum sativum,http://www.wikidata.org/entity/Q107263052,pea skin
http://www.wikidata.org/entity/Q25284,Petroselinum crispum,http://www.wikidata.org/entity/Q65522500,parsley
http://www.wikidata.org/entity/Q22694,Origanum majorana,http://www.wikidata.org/entity/Q72488245,marjoram oil
http://www.wikidata.org/entity/Q23485,Allium cepa,http://www.wikidata.org/entity/Q104176807,onion juice
http://www.wikidata.org/entity/Q41503,Ribes uva-crispa,http://www.wikidata.org/entity/Q17638951,gooseberry
http://www.wikidata.org/entity/Q28367,Asparagus officinalis,http://www.wikidata.org/entity/Q23041045,asparagus
http://www.wikidata.org/entity/Q25237,Pisum sativum,http://www.wikidata.org/entity/Q107263051,pea blossom
http://www.wikidata.org/entity/Q22694,Origanum majorana,http://www.wikidata.org/entity/Q96181239,marjoram (herb)
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q110785991,apricot wood
http://www.wikidata.org/entity/Q28437,Matricaria chamomilla,http://www.wikidata.org/entity/Q1103862,camomile oil
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q96098211,grapevine leaf (red)
http://www.wikidata.org/entity/Q23425,Cucumis sativus,http://www.wikidata.org/entity/Q217962,Znojmo cucumber
http://www.wikidata.org/entity/Q23485,Allium cepa,http://www.wikidata.org/entity/Q3406628,onion
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q12208391,corn stover
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q165527,apricot kernel
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q3733836,apricot
http://www.wikidata.org/entity/Q41611,Coriandrum sativum,http://www.wikidata.org/entity/Q1118978,coriander seed oil
http://www.wikidata.org/entity/Q25284,Petroselinum crispum,http://www.wikidata.org/entity/Q72499557,parsley seed oil
http://www.wikidata.org/entity/Q25408,Achillea millefolium,http://www.wikidata.org/entity/Q96069000,Millefolii flos
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q107263043,grape skin
http://www.wikidata.org/entity/Q7540,Solanum melongena,http://www.wikidata.org/entity/Q12533094,eggplant
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q621880,apricot oil
http://www.wikidata.org/entity/Q25284,Petroselinum crispum,http://www.wikidata.org/entity/Q68220931,parsley root
http://www.wikidata.org/entity/Q25237,Pisum sativum,http://www.wikidata.org/entity/Q29472543,pea
http://www.wikidata.org/entity/Q38859,Ocimum basilicum,http://www.wikidata.org/entity/Q65522654,basil
http://www.wikidata.org/entity/Q28437,Matricaria chamomilla,http://www.wikidata.org/entity/Q96312550,matricaria flower
http://www.wikidata.org/entity/Q23425,Cucumis sativus,http://www.wikidata.org/entity/Q2735883,cucumber
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q107263044,grapevine flower
http://www.wikidata.org/entity/Q28298,Apium graveolens,http://www.wikidata.org/entity/Q102256772,celery seed
http://www.wikidata.org/entity/Q10998,Solanum tuberosum,http://www.wikidata.org/entity/Q715160,potato starch
http://www.wikidata.org/entity/Q745,Fragaria,http://www.wikidata.org/entity/Q14458220,strawberry
http://www.wikidata.org/entity/Q28298,Apium graveolens,http://www.wikidata.org/entity/Q72516622,celery seed oil
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q3936020,corn kernel
http://www.wikidata.org/entity/Q26686,Anethum graveolens,http://www.wikidata.org/entity/Q5276849,dill oil
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q5171058,corn on the cob
http://www.wikidata.org/entity/Q10998,Solanum tuberosum,http://www.wikidata.org/entity/Q16587531,potato
http://www.wikidata.org/entity/Q26545,Armoracia rusticana,http://www.wikidata.org/entity/Q2964630,horseradish root
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q110611285,rose leaf
http://www.wikidata.org/entity/Q28367,Asparagus officinalis,http://www.wikidata.org/entity/Q115245691,asparagus spear
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q898982,grape seed oil
http://www.wikidata.org/entity/Q7537,Brassica oleracea var. botrytis,http://www.wikidata.org/entity/Q106815124,caulilini
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q107263045,grapevine shoot tip
http://www.wikidata.org/entity/Q26545,Armoracia rusticana,http://www.wikidata.org/entity/Q107307344,horseradish greens
http://www.wikidata.org/entity/Q25284,Petroselinum crispum,http://www.wikidata.org/entity/Q104034852,parsley oil
http://www.wikidata.org/entity/Q26686,Anethum graveolens,http://www.wikidata.org/entity/Q102252650,dill seed oil
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q83054,rose oil
http://www.wikidata.org/entity/Q25237,Pisum sativum,http://www.wikidata.org/entity/Q110611304,peapod
http://www.wikidata.org/entity/Q28298,Apium graveolens,http://www.wikidata.org/entity/Q104176881,celery juice
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q110611286,raisin puree
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q46740,rose hip
http://www.wikidata.org/entity/Q23501,Solanum lycopersicum,http://www.wikidata.org/entity/Q787325,tomato juice
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q91518598,corn husks
http://www.wikidata.org/entity/Q25284,Petroselinum crispum,http://www.wikidata.org/entity/Q96756023,parsley seed
http://www.wikidata.org/entity/Q23400,Allium sativum,http://www.wikidata.org/entity/Q21546392,garlic
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q3337673,apricot juice
http://www.wikidata.org/entity/Q7537,Brassica oleracea var. botrytis,http://www.wikidata.org/entity/Q23900272,cauliflower
http://www.wikidata.org/entity/Q41503,Ribes uva-crispa,http://www.wikidata.org/entity/Q103996504,gooseberry juice
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q856775,corn oil
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q25618328,maize
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q111146316,maize straw
http://www.wikidata.org/entity/Q26686,Anethum graveolens,http://www.wikidata.org/entity/Q59659860,dill
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q4013015,grape seed
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q1885918,corncob
http://www.wikidata.org/entity/Q23501,Solanum lycopersicum,http://www.wikidata.org/entity/Q20638126,tomato
http://www.wikidata.org/entity/Q28298,Apium graveolens,http://www.wikidata.org/entity/Q23012379,celery
http://www.wikidata.org/entity/Q11575,Zea mays,http://www.wikidata.org/entity/Q3393961,corn starch
http://www.wikidata.org/entity/Q25408,Achillea millefolium,http://www.wikidata.org/entity/Q8049575,yarrow oil
